time elapsed: 1.1567 seconds

=================================

sim results:

Small Monte Carlo by Scott Prahl (https://omlc.org)
1 W/cm^2 Uniform Illumination of Semi-Infinite Medium

Scattering =   95.000/cm
Absorption =    5.000/cm
Anisotropy =    0.500
Refr Index =    1.500
Photons    =    10000

Specular Refl      =    0.04000
Backscattered Refl =    0.21616

 Depth         Heat
[microns]     [W/cm^3]
     0     1.53983e+01 
    83     1.37561e+01 
   167     1.15300e+01 
   250     9.55002e+00 
   333     7.75608e+00 
   417     6.35860e+00 
   500     5.16107e+00 
   583     4.04550e+00 
   667     3.20902e+00 
   750     2.54607e+00 
   833     2.00613e+00 
   917     1.60096e+00 
  1000     1.31390e+00 
  1083     1.01052e+00 
  1167     8.04178e-01 
  1250     6.40036e-01 
  1333     5.20290e-01 
  1417     4.35987e-01 
  1500     3.40471e-01 
  1583     2.57664e-01 
  1667     2.16529e-01 
  1750     1.68884e-01 
  1833     1.26574e-01 
  1917     1.04893e-01 
  2000     8.15401e-02 
  2083     6.40151e-02 
  2167     5.01375e-02 
  2250     4.38805e-02 
  2333     3.31231e-02 
  2417     2.75939e-02 
  2500     2.13431e-02 
  2583     1.73188e-02 
  2667     1.29591e-02 
  2750     1.04985e-02 
  2833     1.01171e-02 
  2917     7.92719e-03 
  3000     5.81859e-03 
  3083     4.31323e-03 
  3167     2.64053e-03 
  3250     2.45353e-03 
  3333     2.04291e-03 
  3417     1.57648e-03 
  3500     1.01199e-03 
  3583     6.34630e-04 
  3667     4.42307e-04 
  3750     3.59431e-04 
  3833     3.33373e-04 
  3917     2.13715e-04 
  4000     1.23495e-04 
  4083     1.35376e-04 
  4167     1.01415e-04 
  4250     3.51852e-05 
  4333     4.52172e-05 
  4417     3.08353e-05 
  4500     2.75882e-05 
  4583     2.83516e-05 
  4667     3.71767e-05 
  4750     1.88917e-05 
  4833     2.33283e-05 
  4917     1.22310e-05 
  5000     8.81179e-06 
  5083     1.31551e-06 
  5167     0.00000e+00 
  5250     0.00000e+00 
  5333     0.00000e+00 
  5417     0.00000e+00 
  5500     0.00000e+00 
  5583     0.00000e+00 
  5667     0.00000e+00 
  5750     0.00000e+00 
  5833     0.00000e+00 
  5917     0.00000e+00 
  6000     0.00000e+00 
  6083     0.00000e+00 
  6167     0.00000e+00 
  6250     0.00000e+00 
  6333     0.00000e+00 
