number of photons = 10000000.000000
bin size = 0.00833 [cm] 
last row is overflow. Ignore.
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
0.00417 	 1.688e-02 	 1.621e-01 	 2.696e-01 
0.01250 	 1.225e-02 	 1.607e-01 	 2.692e-01 
0.02083 	 1.162e-02 	 1.608e-01 	 2.694e-01 
0.02917 	 1.219e-02 	 1.610e-01 	 2.699e-01 
0.03750 	 1.178e-02 	 1.611e-01 	 2.701e-01 
0.04583 	 1.173e-02 	 1.612e-01 	 2.705e-01 
0.05417 	 1.145e-02 	 1.614e-01 	 2.707e-01 
0.06250 	 1.145e-02 	 1.616e-01 	 2.712e-01 
0.07083 	 1.152e-02 	 1.615e-01 	 2.715e-01 
0.07917 	 1.130e-02 	 1.621e-01 	 2.724e-01 
0.08750 	 1.123e-02 	 1.621e-01 	 2.727e-01 
0.09583 	 1.148e-02 	 1.621e-01 	 2.729e-01 
0.10417 	 1.148e-02 	 1.621e-01 	 2.735e-01 
0.11250 	 1.149e-02 	 1.627e-01 	 2.741e-01 
0.12083 	 1.141e-02 	 1.629e-01 	 2.747e-01 
0.12917 	 1.137e-02 	 1.631e-01 	 2.758e-01 
0.13750 	 1.163e-02 	 1.629e-01 	 2.768e-01 
0.14583 	 1.147e-02 	 1.635e-01 	 2.779e-01 
0.15417 	 1.153e-02 	 1.639e-01 	 2.787e-01 
0.16250 	 1.154e-02 	 1.638e-01 	 2.800e-01 
0.17083 	 1.146e-02 	 1.648e-01 	 2.810e-01 
0.17917 	 1.141e-02 	 1.647e-01 	 2.825e-01 
0.18750 	 1.158e-02 	 1.651e-01 	 2.835e-01 
0.19583 	 1.149e-02 	 1.656e-01 	 2.850e-01 
0.20417 	 1.159e-02 	 1.658e-01 	 2.863e-01 
0.21250 	 1.148e-02 	 1.658e-01 	 2.872e-01 
0.22083 	 1.144e-02 	 1.670e-01 	 2.886e-01 
0.22917 	 1.145e-02 	 1.671e-01 	 2.905e-01 
0.23750 	 1.158e-02 	 1.677e-01 	 2.917e-01 
0.24583 	 1.158e-02 	 1.679e-01 	 2.932e-01 
0.25417 	 1.161e-02 	 1.687e-01 	 2.954e-01 
0.26250 	 1.152e-02 	 1.692e-01 	 2.969e-01 
0.27083 	 1.168e-02 	 1.699e-01 	 2.987e-01 
0.27917 	 1.164e-02 	 1.704e-01 	 3.007e-01 
0.28750 	 1.160e-02 	 1.709e-01 	 3.025e-01 
0.29583 	 1.176e-02 	 1.718e-01 	 3.047e-01 
0.30417 	 1.174e-02 	 1.720e-01 	 3.066e-01 
0.31250 	 1.178e-02 	 1.729e-01 	 3.088e-01 
0.32083 	 1.179e-02 	 1.740e-01 	 3.106e-01 
0.32917 	 1.184e-02 	 1.742e-01 	 3.131e-01 
0.33750 	 1.180e-02 	 1.751e-01 	 3.155e-01 
0.34583 	 1.189e-02 	 1.753e-01 	 3.175e-01 
0.35417 	 1.193e-02 	 1.764e-01 	 3.201e-01 
0.36250 	 1.196e-02 	 1.772e-01 	 3.226e-01 
0.37083 	 1.199e-02 	 1.782e-01 	 3.250e-01 
0.37917 	 1.208e-02 	 1.788e-01 	 3.271e-01 
0.38750 	 1.210e-02 	 1.793e-01 	 3.305e-01 
0.39583 	 1.214e-02 	 1.805e-01 	 3.332e-01 
0.40417 	 1.217e-02 	 1.812e-01 	 3.362e-01 
0.41250 	 1.219e-02 	 1.822e-01 	 3.392e-01 
0.42083 	 1.222e-02 	 1.830e-01 	 3.415e-01 
0.42917 	 1.231e-02 	 1.837e-01 	 3.447e-01 
0.43750 	 1.238e-02 	 1.849e-01 	 3.480e-01 
0.44583 	 1.240e-02 	 1.859e-01 	 3.511e-01 
0.45417 	 1.241e-02 	 1.865e-01 	 3.542e-01 
0.46250 	 1.248e-02 	 1.877e-01 	 3.574e-01 
0.47083 	 1.248e-02 	 1.891e-01 	 3.607e-01 
0.47917 	 1.253e-02 	 1.901e-01 	 3.642e-01 
0.48750 	 1.260e-02 	 1.909e-01 	 3.683e-01 
